commodity,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
Kacang tanah,123,112.8795355828248,47.04215368697384,2.83755306413893,26.81028517847336,1.94,0.41674652047497923
Kopi,107,128.84187890073142,53.41887096012978,3.2709159221799307,41.42310403227481,7.85,0.41460797852294073
Keju lokal,111,113.27661945322534,45.97818321876251,1.3085080363566617,15.65800711119096,4.66,0.4058929675046316
Yogurt,121,97.60863712228354,39.44622317082403,9.516489682716283,115.41023612992036,0.88,0.4041263594471258
Daging ayam beku,119,128.16772455080243,50.53129856941592,1.2542475150389614,16.579450806492325,2.5075000000000003,0.394259153359523
Keju,121,97.63395396484152,38.39683490878293,0.8848989452308333,12.298477602301375,3.29,0.39327337826151976
Padi,114,106.84919194277911,41.9748661765962,23.916822060814948,275.0344212743838,0.5,0.3928421489520948
Kacang niebe,123,122.34417135400074,47.18237236388083,15.194005944963438,237.89478533737125,0.94875,0.38565280096065596
Singkong kering irisan (cossette),122,109.08985666246873,40.914747760693245,4.797246142479332,36.03599150874472,0.36,0.375055472730945
Daun singkong,115,74.57294500125715,27.93403906148246,5.977651418222586,56.1095463159299,0.36,0.3745867762230866
Bit,120,117.11796283779194,43.180636547695734,1.9007879404952186,21.404605130650115,0.5,0.36869354197614246
Kacang-kacangan,123,141.04540497103469,51.981167773915956,1.143911587750666,8.715793869428119,1.28,0.36854208603669786
Susu,123,110.00459871645081,40.45607246465506,1.0485433697619444,15.028078245254612,0.86,0.36776710189121387
Alpukat,99,124.19520654473061,45.600443963770466,3.933595090236564,29.726781069043692,1.31,0.36716750374215806
Cabai merah kering,115,126.19940626893722,46.32948173891418,1.89452596287083,21.647255915261326,2.52,0.3671133098691744
Tepung jagung lokal,103,139.47471799764298,50.69251667403947,1.4686283335493406,11.787211167978954,2.16,0.36345308599151377
Mentega,121,94.56252728025812,34.250945393487065,1.6231809480568893,23.201383456515757,4.525916666666667,0.36220420898837014
Ikan asap,117,110.74447159551607,40.05615116066133,2.9817307890375684,25.145343182107815,4.095,0.36169887835993036
Labu,119,115.82662409513351,41.7199287658504,3.519188639030304,27.273791115242837,0.46,0.36019290980615976
Garam beryodium,123,114.7319403892351,41.02196105152093,1.8799658393087209,18.172915611845994,0.39,0.3575461280646996
Ayam utuh beku,110,120.29685701674269,42.37660206501614,4.108068499253274,38.24854805085147,2.3716666666666666,0.3522669096759381
Susu pasteurisasi,121,101.26749758660011,35.421896630384836,0.6488461195781016,16.697382301095633,1.06,0.34978544423983005
Kuskus,114,91.85823521120653,31.844090388459264,0.8983637523343138,16.048371982013123,1.2,0.3466656017856344
Lemak babi,108,177.60249411260972,59.01152233539236,1.258612492494902,6.43665466125963,2.96,0.33226741904860757
Beras biasa kualitas pertama,120,109.47165743548025,36.0093986876058,93.16516358109959,731.1967297175652,19.92,0.32893809714015526
Minyak sawit,123,121.96368384718748,40.07077710478374,1.2291472982762772,15.933305373726364,1.53,0.32854679229753175
Kacang kering,122,115.06198141873382,37.36537398410287,1.2310632189518742,15.130979579668296,0.9675,0.32474127008227605
Daging sapi giling,120,83.78491782286771,27.003898181117307,1.024634306804178,11.290434320103781,7.97,0.32230022876201997
Gari (tepung singkong fermentasi),120,123.11031132784964,39.293975053507054,1.7649189534826857,17.261927209473566,0.65,0.3191769611309405
Pepaya,120,111.95002045662275,35.4598623994171,10.778908476651017,179.77266044595106,0.6775,0.31674726145455884
Gula merah impor,107,114.00282933897243,36.01892572372052,1.1645247898429583,15.986529008213614,1.575,0.3159476473748119
Roti,123,107.56385895735136,32.97782865155158,2.840482545348982,37.934992841869686,0.69,0.30658837430355823
Minyak sayur lokal,111,108.83589209868084,33.146800879565575,0.8675414571982545,10.234414126737589,2.05,0.3045576256177656
